Тема,Шар,Платформи,Статус,Знімати як,Звідки,Вікно,Нотатка
"Публічний експеримент: перевіряю думку «у мене не вийде»",TOFU,IG;TikTok;Threads,вікно 2 тижні,вдома,експеримент 14д,тиждень 1,День 1. CTA: підписка на процес не на результат
"Не треба спочатку повірити в себе щоб почати",TOFU,IG;TikTok;Threads,вікно 2 тижні,вдома,експеримент 14д,тиждень 1,День 1–2. Без «просто повір»
"Хочу скасувати експеримент щойно почала",TOFU,IG;Threads,вікно 2 тижні,вдома,експеримент 14д,тиждень 1,Відмова героя. Страх бути поміченою
"Знаю що робити і не починаю",TOFU,IG;Threads;TikTok,вікно 2 тижні,вдома,ЦА,тиждень 1,Мова ЦА. Одна сцена відкладання не лекція
"Загоняюсь: десять сценаріїв до одного повідомлення",TOFU,IG;Threads,вікно 2 тижні,вдома,ЦА,тиждень 1,Можна шітпост у Threads
"Запускаюсь тільки коли вже все валиться",TOFU,IG;TikTok,вікно 2 тижні,вдома,ЦА,тиждень 1,Дедлайн як єдиний двигун
"Ще не готова — вічний захист",TOFU,IG;Threads,вікно 2 тижні,тільки голос,ЦА,тиждень 1,Не сором. Прямо і тепло
"Одна мікродія замість плану на місяць",MOFU,IG;TG,вікно 2 тижні,вдома,експеримент 14д,тиждень 1,Карусель або Reel. Telegram — ширше
"Підготовка замість видимого результату",TOFU,IG;Threads,вікно 2 тижні,вдома,експеримент 14д,тиждень 2,Ворог героїні
"Порівнюю свій день 1 з чужим роком 5",TOFU,IG;TikTok,вікно 2 тижні,вдома,експеримент 14д,тиждень 2,
"Одна пауза не доказ що я нездатна",MOFU,IG;TG,вікно 2 тижні,вдома,експеримент 14д,тиждень 2,
"Дедлайн нависає а я прибираю квартиру",TOFU,IG;Threads,вікно 2 тижні,вдома,ЦА,тиждень 2,Побут як втеча від задачі
"Боюсь бути видимою на роботі не в характері",MOFU,IG;TG,вікно 2 тижні,вдома,ЦА,тиждень 2,Наслідок: дедлайн ціна пост. Не борги Каті
"Зняла криво але зняла — доказ",MOFU,IG,вікно 2 тижні,вдома,експеримент 14д,тиждень 2,Лайф не ідеальний кадр
"Карусель: п’ять фраз якими себе зупиняєш",MOFU,IG,вікно 2 тижні,карусель,ЦА,тиждень 2,"знаю але не роблю / ще не готова / з понеділка"
"Yap 40 сек: що я сьогодні знову відклала",TOFU,TikTok;IG,вікно 2 тижні,тільки голос,експеримент 14д,тиждень 2,Легший TikTok якщо Reel важкий
"Telegram: один момент уникання розкласти по ланцюжку",MOFU,TG,банк місяця,вдома,ЦА,пізніше в місяці,тригер → інтерпретація → імпульс → дія
"Threads: знову перечитала і не надіслала",TOFU,Threads,банк місяця,тільки голос,ЦА,пізніше в місяці,Шітпост ок
"Мені соромно казати «з понеділка»",TOFU,IG;Threads,банк місяця,вдома,ЦА,пізніше в місяці,Без приниження аудиторії
"Працюю коли просять і не запускаю своє",MOFU,IG;TG,банк місяця,вдома,ЦА,пізніше в місяці,Професійний сегмент
"Страх оцінки як реалістичний прогноз",TOFU,IG;YT,банк місяця,вдома,експеримент 14д,пізніше в місяці,YouTube-беклог якщо потягне на 10+ хв
"Чому розуміння не вмикає дію",MOFU,YT;TG,банк місяця,вдома,ЦА,пізніше в місяці,Довгий формат. Джирая досліджує не штампує графік
"Закріп Threads/IG: хто я і який експеримент",MOFU,IG;Threads,банк місяця,вдома,експеримент 14д,пізніше в місяці,Куди йти далі
"Напиши ТЕСТ у коментарі",BOFU,IG;Threads;TG,ідея,вдома,ЦА,пізніше в місяці,М’який збір інтересу. Не купи
"Місток: серія в Instagram якщо зайшла з Threads",BOFU,Threads,ідея,тільки голос,експеримент 14д,пізніше в місяці,Воронка не тримати в треді
"Waitlist платного Telegram коли з’явиться офер",BOFU,TG;IG,ідея,вдома,ЦА,пізніше в місяці,Не публікувати поки немає пілоту
"У залі після тренування: мозок вже не торгується",TOFU,IG;TikTok,банк місяця,зал,Катя кинула,пізніше в місяці,Знімати як зручно після спорту
"У дорозі: одне речення яке мене зупинило сьогодні",TOFU,Threads;TikTok,банк місяця,дорога,ЦА,пізніше в місяці,
