Одиниця,Дата,Тема,Теги,Джерело,Ідея з Банку,Формат,Головна думка (крок 1),Хук (крок 1),Статус,Сценарій,Нотатка
"Reel — публічний експеримент",,"Публічний експеримент: перевіряю думку «у мене не вийде»","Впевненість з доказів","рядок Банку тем","Публічний експеримент: перевіряю думку «у мене не вийде»",Reel,,,чекає брейндампу,,
"Reel — не треба спочатку повірити",,"Не треба спочатку повірити в себе щоб почати","Дія в низькій енергії","рядок Банку тем","Не треба спочатку повірити в себе щоб почати",Reel,,,чекає брейндампу,,
"Reel — хочу скасувати",,"Хочу скасувати експеримент щойно почала","Уникання і «потім»","рядок Банку тем","Хочу скасувати експеримент щойно почала",Reel,,,чекає брейндампу,,
"Reel — знаю і не починаю",,"Знаю що робити і не починаю","Петлі в голові","рядок Банку тем","Знаю що робити і не починаю",Reel,,,чекає брейндампу,,
"Reel — загоняюсь",,"Загоняюсь: десять сценаріїв до одного повідомлення","Петлі в голові","рядок Банку тем","Загоняюсь: десять сценаріїв до одного повідомлення",Reel,,,чекає брейндампу,,
"Reel — лише коли валиться",,"Запускаюсь тільки коли вже все валиться","Реакція","рядок Банку тем","Запускаюсь тільки коли вже все валиться",Reel,,,чекає брейндампу,,
"Reel — ще не готова",,"Ще не готова — вічний захист","Уникання і «потім»","рядок Банку тем","Ще не готова — вічний захист",Reel,,,чекає брейндампу,,
"Карусель — одна мікродія",,"Одна мікродія замість плану на місяць","Дія в низькій енергії","рядок Банку тем","Одна мікродія замість плану на місяць",карусель,,,чекає брейндампу,,
"Reel — підготовка замість результату",,"Підготовка замість видимого результату","Уникання і «потім»","рядок Банку тем","Підготовка замість видимого результату",Reel,,,чекає брейндампу,,
"Reel — чужий рік 5",,"Порівнюю свій день 1 з чужим роком 5","Впевненість з доказів","рядок Банку тем","Порівнюю свій день 1 з чужим роком 5",Reel,,,чекає брейндампу,,
"Reel — пауза не вирок",,"Одна пауза не доказ що я нездатна","Відповідальність за стан","рядок Банку тем","Одна пауза не доказ що я нездатна",Reel,,,чекає брейндампу,,
"Reel — прибираю замість дедлайну",,"Дедлайн нависає а я прибираю квартиру","Уникання і «потім»","рядок Банку тем","Дедлайн нависає а я прибираю квартиру",Reel,,,чекає брейндампу,,
"Reel — видимість на роботі",,"Боюсь бути видимою на роботі не в характері","Реакція","рядок Банку тем","Боюсь бути видимою на роботі не в характері",Reel,,,чекає брейндампу,,
"Reel — зняла криво",,"Зняла криво але зняла — доказ","Впевненість з доказів","рядок Банку тем","Зняла криво але зняла — доказ",Reel,,,чекає брейндампу,,
"Карусель — п'ять фраз зупинки",,"Карусель: п'ять фраз якими себе зупиняєш","Петлі в голові","рядок Банку тем","Карусель: п'ять фраз якими себе зупиняєш",карусель,,,чекає брейндампу,,
"Reel — yap що відклала",,"Yap 40 сек: що я сьогодні знову відклала","Уникання і «потім»","рядок Банку тем","Yap 40 сек: що я сьогодні знову відклала",Reel,,,чекає брейндампу,,
