platform,handle_or_url,why,status
IG,https://www.instagram.com/theselfhelpplanner,насіння від Каті,готово
IG,https://www.instagram.com/calleighmc2,насіння від Каті,готово
IG,https://www.instagram.com/gracebrodeur,насіння від Каті,готово
IG,https://www.instagram.com/palna_anna,насіння від Каті,готово
IG,https://www.instagram.com/elyse_myers,насіння від Каті,готово
IG,https://www.instagram.com/chernyak.blog,насіння від Каті,готово
IG,https://www.instagram.com/milanias,насіння від Каті,готово
IG,https://www.instagram.com/malika.nikolaevaa,насіння від Каті,готово
IG,https://www.instagram.com/rina_momot,насіння від Каті,готово
IG,https://www.instagram.com/pagetkagy,насіння від Каті,готово
IG,https://www.instagram.com/jessijeanhome,насіння від Каті,готово
Threads,,ще немає насіння,чекає Катю
YT,,ще немає насіння,чекає Катю
